web-scraper-order,web-scraper-start-url,Chien_links_description,Chien_links_description-href,Race,Age,Adresse,Price,Nom,Lien_image
"1738975734-623","https://sn.coinafrique.com/categorie/chiens?page=3","Rottweiler femelle 2 mois","https://sn.coinafrique.com/annonce/chiens/rottweiler-femelle-2-mois-4543266","Rottweiler femelle 2 mois","1 année","Dakar, Sénégal","275 000 CFA","Rottweiler femelle 2 mois","275 000 CFA"
"1738975737-624","https://sn.coinafrique.com/categorie/chiens?page=3","Chiot femelle Malinois et Red Nose","https://sn.coinafrique.com/annonce/chiens/chiot-femelle-malinois-et-red-nose-4548513","Chiot femelle Malinois et Red Nose","1 année","Dakar, Sénégal","250 000 CFA","Chiot femelle Malinois et Red Nose","250 000 CFA"
"1738975740-625","https://sn.coinafrique.com/categorie/chiens?page=3","Chiot Malinois","https://sn.coinafrique.com/annonce/chiens/chiot-malinois-4549443","Chiot Malinois","1 année","Dakar, Sénégal","350 000 CFA","Chiot Malinois","350 000 CFA"
"1738975744-626","https://sn.coinafrique.com/categorie/chiens?page=3","Chiots mâle","https://sn.coinafrique.com/annonce/chiens/chiots-male-4556192","Chiots mâle","1 année","Point E, Dakar, Sénégal","195 000 CFA","Chiots mâle","195 000 CFA"
"1738975748-627","https://sn.coinafrique.com/categorie/chiens?page=3","Chiots  Bichon maltais","https://sn.coinafrique.com/annonce/chiens/chiots-bichon-maltais-4557442","Chiots  Bichon maltais","1 année","Dakar, Sénégal","Prix sur demande","Chiots  Bichon maltais","Prix sur demande"
"1738975752-628","https://sn.coinafrique.com/categorie/chiens?page=3","Chiens malinois","https://sn.coinafrique.com/annonce/chiens/chiens-malinois-4559186","Chiens malinois","1 année","Dakar, Sénégal","Prix sur demande","Chiens malinois","Prix sur demande"
"1738975755-629","https://sn.coinafrique.com/categorie/chiens?page=3","Chiens Malinois charbonner","https://sn.coinafrique.com/annonce/chiens/chiens-malinois-charbonner-4560526","Chiens Malinois charbonner","1 année","Rufisque, Sénégal","250 000 CFA","Chiens Malinois charbonner","250 000 CFA"
"1738975759-630","https://sn.coinafrique.com/categorie/chiens?page=3","Chiot Bichon","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4564541","Chiot Bichon","1 année","Mermoz-Sacré Coeur, Dakar, Sénégal","170 000 CFA","Chiot Bichon","170 000 CFA"
"1738975762-631","https://sn.coinafrique.com/categorie/chiens?page=3","Chiots Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4578066","Chiots Berger Allemand","1 année","Dakar, Sénégal","175 000 CFA","Chiots Berger Allemand","175 000 CFA"
"1738975765-632","https://sn.coinafrique.com/categorie/chiens?page=3","Chiot Rottweiler","https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-4578118","Chiot Rottweiler","1 année","Almadies 2, Dakar, Sénégal","250 000 CFA","Chiot Rottweiler","250 000 CFA"
"1738975768-633","https://sn.coinafrique.com/categorie/chiens?page=3","Chiot Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4578293","Chiot Berger Allemand","1 année","Almadies 2, Dakar, Sénégal","150 000 CFA","Chiot Berger Allemand","150 000 CFA"
"1738975776-634","https://sn.coinafrique.com/categorie/chiens?page=2","Chien American Bully","https://sn.coinafrique.com/annonce/chiens/chien-american-bully-4579870","Chien American Bully","1 année","Thies, Sénégal","Prix sur demande","Chien American Bully","Prix sur demande"
"1738975779-635","https://sn.coinafrique.com/categorie/chiens?page=2","Chien Boerboel","https://sn.coinafrique.com/annonce/chiens/chien-boerboel-4580660","Chien Boerboel","1 année","Dakar, Sénégal","250 CFA","Chien Boerboel","250 CFA"
"1738975782-636","https://sn.coinafrique.com/categorie/chiens?page=2","Bichon maltais femelle","https://sn.coinafrique.com/annonce/chiens/bichon-maltais-femelle-4583262","Bichon maltais femelle","1 année","Almadies 2, Dakar, Sénégal","130 000 CFA","Bichon maltais femelle","130 000 CFA"
"1738975785-637","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Bichon maltais","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-4592152","Chiot Bichon maltais","12 mois","Ouakam, Dakar, Sénégal","150 000 CFA","Chiot Bichon maltais","150 000 CFA"
"1738975788-638","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Bichon","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4595120","Chiot Bichon","11 mois","Thies, Sénégal","100 000 CFA","Chiot Bichon","100 000 CFA"
"1738975791-639","https://sn.coinafrique.com/categorie/chiens?page=2","Chien Berger Belge Malinois","https://sn.coinafrique.com/annonce/chiens/chien-berger-belge-malinois-4599516","Chien Berger Belge Malinois","11 mois","Mbao, Dakar, Sénégal","300 000 CFA","Chien Berger Belge Malinois","300 000 CFA"
"1738975793-640","https://sn.coinafrique.com/categorie/chiens?page=2","Chiens berger allemand","https://sn.coinafrique.com/annonce/chiens/chiens-berger-allemand-4604923","Chiens berger allemand","11 mois","Dakar, Sénégal","Prix sur demande","Chiens berger allemand","Prix sur demande"
"1738975797-641","https://sn.coinafrique.com/categorie/chiens?page=2","Chiens boerbulls","https://sn.coinafrique.com/annonce/chiens/chiens-boerbulls-4606579","Chiens boerbulls","11 mois","Diamniadio, Sénégal","Prix sur demande","Chiens boerbulls","Prix sur demande"
"1738975800-642","https://sn.coinafrique.com/categorie/chiens?page=2","Chien Boerboel","https://sn.coinafrique.com/annonce/chiens/chien-boerboel-4607340","Chien Boerboel","11 mois","Diamniadio, Sénégal","275 000 CFA","Chien Boerboel","275 000 CFA"
"1738975804-643","https://sn.coinafrique.com/categorie/chiens?page=2","Chien Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-4609624","Chien Berger Allemand","11 mois","Dakar, Sénégal","Prix sur demande","Chien Berger Allemand","Prix sur demande"
"1738975807-644","https://sn.coinafrique.com/categorie/chiens?page=2","Bichon","https://sn.coinafrique.com/annonce/chiens/bichon-4611544","Bichon","11 mois","Mariste, Dakar, Sénégal","150 000 CFA","Bichon","150 000 CFA"
"1738975810-645","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Malinois","https://sn.coinafrique.com/annonce/chiens/chiot-malinois-4618143","Chiot Malinois","11 mois","Dakar, Sénégal","300 000 CFA","Chiot Malinois","300 000 CFA"
"1738975813-646","https://sn.coinafrique.com/categorie/chiens?page=2","Chien Berger Femelle adulte","https://sn.coinafrique.com/annonce/chiens/chien-berger-femelle-adulte-4630010","Chien Berger Femelle adulte","11 mois","Dakar, Sénégal","500 000 CFA","Chien Berger Femelle adulte","500 000 CFA"
"1738975816-647","https://sn.coinafrique.com/categorie/chiens?page=2","Caniche","https://sn.coinafrique.com/annonce/chiens/caniche-4634226","Caniche","11 mois","Dakar, Sénégal","200 000 CFA","Caniche","200 000 CFA"
"1738975819-648","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Berger Allemand mâle","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-male-4636694","Chiot Berger Allemand mâle","11 mois","Dakar, Sénégal","180 000 CFA","Chiot Berger Allemand mâle","180 000 CFA"
"1738975822-649","https://sn.coinafrique.com/categorie/chiens?page=2","Chiots Golden Retriever","https://sn.coinafrique.com/annonce/chiens/chiots-golden-retriever-4652247","Chiots Golden Retriever","10 mois","Dakar Plateau, Dakar, Sénégal","650 000 CFA","Chiots Golden Retriever","650 000 CFA"
"1738975826-650","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4653887","Chiot Berger Allemand","10 mois","Pikine, Sénégal","Prix sur demande","Chiot Berger Allemand","Prix sur demande"
"1738975829-651","https://sn.coinafrique.com/categorie/chiens?page=2","Chien Berger allemand","https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-4657472","Chien Berger allemand","10 mois","Dakar, Sénégal","175 000 CFA","Chien Berger allemand","175 000 CFA"
"1738975832-652","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4659440","Chiot Berger Allemand","10 mois","Dakar, Sénégal","160 000 CFA","Chiot Berger Allemand","160 000 CFA"
"1738975835-653","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4660990","Chiot Berger Allemand","10 mois","Dakar, Sénégal","250 000 CFA","Chiot Berger Allemand","250 000 CFA"
"1738975839-654","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Boerbull","https://sn.coinafrique.com/annonce/chiens/chiot-boerbull-4664447","Chiot Boerbull","10 mois","Dakar, Sénégal","Prix sur demande","Chiot Boerbull","Prix sur demande"
"1738975843-655","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Boerbull","https://sn.coinafrique.com/annonce/chiens/chiot-boerbull-4664453","Chiot Boerbull","10 mois","Dakar, Sénégal","Prix sur demande","Chiot Boerbull","Prix sur demande"
"1738975846-656","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Malinois","https://sn.coinafrique.com/annonce/chiens/chiot-malinois-4667946","Chiot Malinois","10 mois","Rufisque, Sénégal","250 000 CFA","Chiot Malinois","250 000 CFA"
"1738975849-657","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4670652","Chiot Berger Allemand","10 mois","Guediawaye, Dakar, Sénégal","150 000 CFA","Chiot Berger Allemand","150 000 CFA"
"1738975852-658","https://sn.coinafrique.com/categorie/chiens?page=2","Chiots Bichons Maltais","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-maltais-4672174","Chiots Bichons Maltais","10 mois","Ouest Foire, Dakar, Sénégal","100 000 CFA","Chiots Bichons Maltais","100 000 CFA"
"1738975856-659","https://sn.coinafrique.com/categorie/chiens?page=2","Chien Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-4679501","Chien Berger Allemand","10 mois","Rufisque, Sénégal","310 000 CFA","Chien Berger Allemand","310 000 CFA"
"1738975859-660","https://sn.coinafrique.com/categorie/chiens?page=2","Malinois mal","https://sn.coinafrique.com/annonce/chiens/malinois-mal-4679677","Malinois mal","10 mois","Dakar, Sénégal","250 CFA","Malinois mal","250 CFA"
"1738975862-661","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Ridgback","https://sn.coinafrique.com/annonce/chiens/chiot-ridgback-4680610","Chiot Ridgback","10 mois","Diamniadio, Sénégal","500 000 CFA","Chiot Ridgback","500 000 CFA"
"1738975866-662","https://sn.coinafrique.com/categorie/chiens?page=2","Chiots Malinois","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-4681737","Chiots Malinois","10 mois","Mbao, Dakar, Sénégal","Prix sur demande","Chiots Malinois","Prix sur demande"
"1738975869-663","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Bichon Maltais","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-maltais-4683644","Chiot Bichon Maltais","10 mois","Dakar, Sénégal","777 621 466 CFA","Chiot Bichon Maltais","777 621 466 CFA"
"1738975872-664","https://sn.coinafrique.com/categorie/chiens?page=2","Chien Berger Belge Malinois","https://sn.coinafrique.com/annonce/chiens/chien-berger-belge-malinois-4687438","Chien Berger Belge Malinois","10 mois","Mbao, Dakar, Sénégal","250 000 CFA","Chien Berger Belge Malinois","250 000 CFA"
"1738975876-665","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4692204","Chiot Berger Allemand","9 mois","Fann, Dakar, Sénégal","200 000 CFA","Chiot Berger Allemand","200 000 CFA"
"1738975878-666","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4692205","Chiot Berger Allemand","9 mois","Fann, Dakar, Sénégal","Prix sur demande","Chiot Berger Allemand","Prix sur demande"
"1738975881-667","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Malinois","https://sn.coinafrique.com/annonce/chiens/chiot-malinois-4695228","Chiot Malinois","9 mois","Dakar, Sénégal","779 638 883 CFA","Chiot Malinois","779 638 883 CFA"
"1738975885-668","https://sn.coinafrique.com/categorie/chiens?page=2","Femelle Apbt Brinze","https://sn.coinafrique.com/annonce/chiens/femelle-apbt-brinze-4711619","Femelle Apbt Brinze","9 mois","Dakar, Sénégal","250 000 CFA","Femelle Apbt Brinze","250 000 CFA"
"1738975889-669","https://sn.coinafrique.com/categorie/chiens?page=2","Chien Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-4716925","Chien Berger Allemand","9 mois","Guediawaye, Dakar, Sénégal","200 000 CFA","Chien Berger Allemand","200 000 CFA"
"1738975891-670","https://sn.coinafrique.com/categorie/chiens?page=2","Berger Allemand Femelle","https://sn.coinafrique.com/annonce/chiens/berger-allemand-femelle-4717577","Berger Allemand Femelle","9 mois","Dakar, Sénégal","500 000 CFA","Berger Allemand Femelle","500 000 CFA"
"1738975895-671","https://sn.coinafrique.com/categorie/chiens?page=2","Rottweiler","https://sn.coinafrique.com/annonce/chiens/rottweiler-4727689","Rottweiler","9 mois","Dakar, Sénégal","300 000 CFA","Rottweiler","300 000 CFA"
"1738975899-672","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Bichon","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4739575","Chiot Bichon","9 mois","Grand Yoff, Dakar, Sénégal","150 000 CFA","Chiot Bichon","150 000 CFA"
"1738975903-673","https://sn.coinafrique.com/categorie/chiens?page=2","Chiots","https://sn.coinafrique.com/annonce/chiens/chiots-4740260","Chiots","9 mois","Gorée, Dakar, Sénégal","20 000 CFA","Chiots","20 000 CFA"
"1738975907-674","https://sn.coinafrique.com/categorie/chiens?page=2","Chiots","https://sn.coinafrique.com/annonce/chiens/chiots-4746939","Chiots","8 mois","Thies, Sénégal","Prix sur demande","Chiots","Prix sur demande"
"1738975911-675","https://sn.coinafrique.com/categorie/chiens?page=2","Chien Husky","https://sn.coinafrique.com/annonce/chiens/chien-husky-4755258","Chien Husky","8 mois","Ouest Foire, Dakar, Sénégal","300 000 CFA","Chien Husky","300 000 CFA"
"1738975914-676","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Malinois","https://sn.coinafrique.com/annonce/chiens/chiot-malinois-4755803","Chiot Malinois","8 mois","Dakar, Sénégal","290 CFA","Chiot Malinois","290 CFA"
"1738975918-677","https://sn.coinafrique.com/categorie/chiens?page=2","Chiots Berger XL","https://sn.coinafrique.com/annonce/chiens/chiots-berger-xl-4758802","Chiots Berger XL","8 mois","Saly, Sénégal","250 000 CFA","Chiots Berger XL","250 000 CFA"
"1738975925-678","https://sn.coinafrique.com/categorie/chiens?page=2","Chiots Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4764005","Chiots Berger Allemand","8 mois","Mbour, Sénégal","400 000 CFA","Chiots Berger Allemand","400 000 CFA"
"1738975929-679","https://sn.coinafrique.com/categorie/chiens?page=2","Berger allemand pure sang","https://sn.coinafrique.com/annonce/chiens/berger-allemand-pure-sang-4779635","Berger allemand pure sang","8 mois","Mbour, Sénégal","160 000 CFA","Berger allemand pure sang","160 000 CFA"
"1738975932-680","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot malinois femelle","https://sn.coinafrique.com/annonce/chiens/chiot-malinois-femelle-4795597","Chiot malinois femelle","7 mois","Saly, Sénégal","250 000 CFA","Chiot malinois femelle","250 000 CFA"
"1738975935-681","https://sn.coinafrique.com/categorie/chiens?page=2","Bichon Maltais","https://sn.coinafrique.com/annonce/chiens/bichon-maltais-4806292","Bichon Maltais","7 mois","Dakar, Sénégal","779 638 883 CFA","Bichon Maltais","779 638 883 CFA"
"1738975938-682","https://sn.coinafrique.com/categorie/chiens?page=2","Chien Malinois","https://sn.coinafrique.com/annonce/chiens/chien-malinois-4806294","Chien Malinois","7 mois","Dakar, Sénégal","77 963 888 CFA","Chien Malinois","77 963 888 CFA"
"1738975941-683","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Malinois 4 mois","https://sn.coinafrique.com/annonce/chiens/chiot-malinois-4-mois-4807147","Chiot Malinois 4 mois","7 mois","Dakar, Sénégal","275 CFA","Chiot Malinois 4 mois","275 CFA"
"1738975944-684","https://sn.coinafrique.com/categorie/chiens?page=2","Chiots dog canaries","https://sn.coinafrique.com/annonce/chiens/chiots-dog-canaries-4808208","Chiots dog canaries","7 mois","Keur Massar, Sénégal","Prix sur demande","Chiots dog canaries","Prix sur demande"
"1738975948-685","https://sn.coinafrique.com/categorie/chiens?page=2","Bichon maltais","https://sn.coinafrique.com/annonce/chiens/bichon-maltais-4812592","Bichon maltais","7 mois","Dieuppeul-Derklé, Dakar, Sénégal","145 000 CFA","Bichon maltais","145 000 CFA"
"1738975951-686","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Husky pur sang","https://sn.coinafrique.com/annonce/chiens/chiot-husky-pur-sang-4814513","Chiot Husky pur sang","7 mois","Ouest Foire, Dakar, Sénégal","250 000 CFA","Chiot Husky pur sang","250 000 CFA"
"1738975954-687","https://sn.coinafrique.com/categorie/chiens?page=2","Chiots Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4817314","Chiots Berger Allemand","7 mois","Cambérène, Dakar, Sénégal","160 000 CFA","Chiots Berger Allemand","160 000 CFA"
"1738975957-688","https://sn.coinafrique.com/categorie/chiens?page=2","Chiots Malinois","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-4828053","Chiots Malinois","7 mois","Thies, Sénégal","300 000 CFA","Chiots Malinois","300 000 CFA"
"1738975961-689","https://sn.coinafrique.com/categorie/chiens?page=2","Chiens de race","https://sn.coinafrique.com/annonce/chiens/chiens-de-race-4829728","Chiens de race","7 mois","HLM, Dakar, Sénégal","500 000 CFA","Chiens de race","500 000 CFA"
"1738975963-690","https://sn.coinafrique.com/categorie/chiens?page=2","Chiens de race","https://sn.coinafrique.com/annonce/chiens/chiens-de-race-4829755","Chiens de race","7 mois","HLM, Dakar, Sénégal","250 000 CFA","Chiens de race","250 000 CFA"
"1738975966-691","https://sn.coinafrique.com/categorie/chiens?page=2","Berger Allemand poil long","https://sn.coinafrique.com/annonce/chiens/berger-allemand-poil-long-4834152","Berger Allemand poil long","7 mois","Thies, Sénégal","150 000 CFA","Berger Allemand poil long","150 000 CFA"
"1738975969-692","https://sn.coinafrique.com/categorie/chiens?page=2","Chiots Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4837526","Chiots Berger Allemand","7 mois","Parcelle Assainies, Dakar, Sénégal","350 000 CFA","Chiots Berger Allemand","350 000 CFA"
"1738975972-693","https://sn.coinafrique.com/categorie/chiens?page=2","Berger Allemand","https://sn.coinafrique.com/annonce/chiens/berger-allemand-4840125","Berger Allemand","7 mois","Cambérène, Dakar, Sénégal","150 000 CFA","Berger Allemand","150 000 CFA"
"1738975974-694","https://sn.coinafrique.com/categorie/chiens?page=2","Chien Bichon","https://sn.coinafrique.com/annonce/chiens/chien-bichon-4844767","Chien Bichon","6 mois","Sicap Liberté, Dakar, Sénégal","160 000 CFA","Chien Bichon","160 000 CFA"
"1738975977-695","https://sn.coinafrique.com/categorie/chiens?page=2","Berger allemand","https://sn.coinafrique.com/annonce/chiens/berger-allemand-4845561","Berger allemand","6 mois","Diamniadio, Sénégal","150 000 CFA","Berger allemand","150 000 CFA"
"1738975980-696","https://sn.coinafrique.com/categorie/chiens?page=2","Chiots spitz nain","https://sn.coinafrique.com/annonce/chiens/chiots-spitz-nain-4845887","Chiots spitz nain","6 mois","Dakar Plateau, Dakar, Sénégal","800 000 CFA","Chiots spitz nain","800 000 CFA"
"1738975983-697","https://sn.coinafrique.com/categorie/chiens?page=2","Chiots Rottweiler","https://sn.coinafrique.com/annonce/chiens/chiots-rottweiler-4848898","Chiots Rottweiler","6 mois","Mariste, Dakar, Sénégal","250 000 CFA","Chiots Rottweiler","250 000 CFA"
"1738975985-698","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Belgian Malinois charbonne","https://sn.coinafrique.com/annonce/chiens/chiot-belgian-malinois-charbonne-4850412","Chiot Belgian Malinois charbonne","6 mois","Yoff, Dakar, Sénégal","250 000 CFA","Chiot Belgian Malinois charbonne","250 000 CFA"
"1738975988-699","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Cane Corso","https://sn.coinafrique.com/annonce/chiens/chiot-cane-corso-4851447","Chiot Cane Corso","6 mois","Mariste, Dakar, Sénégal","Prix sur demande","Chiot Cane Corso","Prix sur demande"
"1738975991-700","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Husky","https://sn.coinafrique.com/annonce/chiens/chiot-husky-4852383","Chiot Husky","6 mois","Mbour, Sénégal","200 000 CFA","Chiot Husky","200 000 CFA"
"1738975994-701","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Chiwawa","https://sn.coinafrique.com/annonce/chiens/chiot-chiwawa-4853647","Chiot Chiwawa","6 mois","Dakar Plateau, Dakar, Sénégal","550 000 CFA","Chiot Chiwawa","550 000 CFA"
"1738975996-702","https://sn.coinafrique.com/categorie/chiens?page=2","Chiots Golden retriever","https://sn.coinafrique.com/annonce/chiens/chiots-golden-retriever-4853861","Chiots Golden retriever","6 mois","Dakar Plateau, Dakar, Sénégal","650 000 CFA","Chiots Golden retriever","650 000 CFA"
"1738975999-703","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Dogo argentino","https://sn.coinafrique.com/annonce/chiens/chiot-dogo-argentino-4853893","Chiot Dogo argentino","6 mois","Thies, Sénégal","Prix sur demande","Chiot Dogo argentino","Prix sur demande"
"1738976002-704","https://sn.coinafrique.com/categorie/chiens?page=2","Chiots berger allemand","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4858734","Chiots berger allemand","6 mois","Keur Massar, Sénégal","150 000 CFA","Chiots berger allemand","150 000 CFA"
"1738976005-705","https://sn.coinafrique.com/categorie/chiens?page=2","Bichons maltin pure race","https://sn.coinafrique.com/annonce/chiens/bichons-maltin-pure-race-4865327","Bichons maltin pure race","6 mois","HLM, Dakar, Sénégal","250 000 CFA","Bichons maltin pure race","250 000 CFA"
"1738976009-706","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Caniche","https://sn.coinafrique.com/annonce/chiens/chiot-caniche-4867390","Chiot Caniche","6 mois","Thies, Sénégal","150 000 CFA","Chiot Caniche","150 000 CFA"
"1738976012-707","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot berger malinois","https://sn.coinafrique.com/annonce/chiens/chiot-berger-malinois-4868594","Chiot berger malinois","6 mois","Keur Massar, Sénégal","150 000 CFA","Chiot berger malinois","150 000 CFA"
"1738976014-708","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4875998","Chiot Berger Allemand","6 mois","Cambérène, Dakar, Sénégal","150 000 CFA","Chiot Berger Allemand","150 000 CFA"
"1738976017-709","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4884833","Chiot Berger Allemand","6 mois","Dakar, Sénégal","150 000 CFA","Chiot Berger Allemand","150 000 CFA"
"1738976020-710","https://sn.coinafrique.com/categorie/chiens?page=2","Golden Retriever","https://sn.coinafrique.com/annonce/chiens/golden-retriever-4885131","Golden Retriever","6 mois","Almadies 2, Dakar, Sénégal","300 000 CFA","Golden Retriever","300 000 CFA"
"1738976023-711","https://sn.coinafrique.com/categorie/chiens?page=2","Pitbull","https://sn.coinafrique.com/annonce/chiens/pitbull-4885134","Pitbull","6 mois","Almadies 2, Dakar, Sénégal","135 000 CFA","Pitbull","135 000 CFA"
"1738976025-712","https://sn.coinafrique.com/categorie/chiens?page=2","Berger Allemand","https://sn.coinafrique.com/annonce/chiens/berger-allemand-4885136","Berger Allemand","6 mois","Almadies 2, Dakar, Sénégal","150 000 CFA","Berger Allemand","150 000 CFA"
"1738976028-713","https://sn.coinafrique.com/categorie/chiens?page=2","Vente de chiots","https://sn.coinafrique.com/annonce/chiens/vente-de-chiots-4885713","Vente de chiots","6 mois","Almadies, Dakar, Sénégal","130 000 CFA","Vente de chiots","130 000 CFA"
"1738976031-714","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Berger Malinois","https://sn.coinafrique.com/annonce/chiens/chiot-berger-malinois-4887929","Chiot Berger Malinois","6 mois","Mbour, Sénégal","300 000 CFA","Chiot Berger Malinois","300 000 CFA"
"1738976034-715","https://sn.coinafrique.com/categorie/chiens?page=2","Berger allemand","https://sn.coinafrique.com/annonce/chiens/berger-allemand-4888701","Berger allemand","6 mois","Keur Massar, Sénégal","150 000 CFA","Berger allemand","150 000 CFA"
"1738976036-716","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot Berger Allemand","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4892261","Chiot Berger Allemand","5 mois","Dakar, Sénégal","150 000 CFA","Chiot Berger Allemand","150 000 CFA"
"1738976039-717","https://sn.coinafrique.com/categorie/chiens?page=2","Chiot femelle caniche","https://sn.coinafrique.com/annonce/chiens/chiot-femelle-caniche-4893046","Chiot femelle caniche","5 mois","Thies, Sénégal","150 000 CFA","Chiot femelle caniche","150 000 CFA"
"1738976045-718","https://sn.coinafrique.com/categorie/chiens?page=1","Chiot Husky","https://sn.coinafrique.com/annonce/chiens/chiot-husky-4893706","Chiot Husky","5 mois","Keur Massar, Sénégal","400 000 CFA","Chiot Husky","400 000 CFA"
"1738976048-719","https://sn.coinafrique.com/categorie/chiens?page=1","Chiot Berger Malinois","https://sn.coinafrique.com/annonce/chiens/chiot-berger-malinois-4894008","Chiot Berger Malinois","5 mois","Mbao, Dakar, Sénégal","130 000 CFA","Chiot Berger Malinois","130 000 CFA"
"1738976050-720","https://sn.coinafrique.com/categorie/chiens?page=1","Boerboel","https://sn.coinafrique.com/annonce/chiens/boerboel-4894355","Boerboel","5 mois","Almadies 2, Dakar, Sénégal","400 000 CFA","Boerboel","400 000 CFA"
"1738976053-721","https://sn.coinafrique.com/categorie/chiens?page=1","Berger Malinois","https://sn.coinafrique.com/annonce/chiens/berger-malinois-4910751","Berger Malinois","5 mois","Dakar, Sénégal","200 000 CFA","Berger Malinois","200 000 CFA"
"1738976056-722","https://sn.coinafrique.com/categorie/chiens?page=1","Chiot Bichon","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4912455","Chiot Bichon","5 mois","Keur Massar, Sénégal","160 000 CFA","Chiot Bichon","160 000 CFA"
"1738976059-723","https://sn.coinafrique.com/categorie/chiens?page=1","Cane Corso de 4 mois","https://sn.coinafrique.com/annonce/chiens/cane-corso-de-4-mois-4919921","Cane Corso de 4 mois","5 mois","Sicap Liberté, Dakar, Sénégal","450 000 CFA","Cane Corso de 4 mois","450 000 CFA"
"1738976061-724","https://sn.coinafrique.com/categorie/chiens?page=1","Chiot Rottweiler","https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-4920593","Chiot Rottweiler","5 mois","Thies, Sénégal","300 000 CFA","Chiot Rottweiler","300 000 CFA"
"1738976064-725","https://sn.coinafrique.com/categorie/chiens?page=1","Chiot Rottweiler","https://sn.coinafrique.com/annonce/chiens/chiot-rottweiler-4925778","Chiot Rottweiler","5 mois","Sacré-Coeur, Dakar, Sénégal","120 000 CFA","Chiot Rottweiler","120 000 CFA"
